FID,NAME,HH,pop,hhsize,sexratio,p0_14,p15_64,p65u,curborn,forborn,firstgen,secgen,thirdgen,leave,stay,meanHHinc,GFR,unemploy,partrate,airpolut,badcond,nvrmarr,married,divorced,consuni,area,popdens,CreationDate,Creator,EditDate,Editor,x,y
273,SERU FORTUNA,281,826,2.9,83,0.253,0.677,0.07,0.893,0.107,0.107,0.146,0.747,0.029,0.552,3900,42,13.8,69,4.3,4.6,47,30.5,2.5,12.8,0.525,1573.33340478322,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
274,GAITU,67,168,2.5,66,0.179,0.524,0.298,0.583,0.417,0.417,0.31,0.274,0.088,0.644,11558,0,0,0,13.4,0,23.7,51.9,12.6,2.2,0.211,796.208547899466,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
275,STA. ROSA,582,1683,2.6,83,0.208,0.624,0.168,0.794,0.206,0.207,0.171,0.622,0.024,0.636,4971,66,8.8,61.8,5.2,4.7,37.9,37.9,6.5,8.8,0.77,2185.71433985609,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
276,EMMASTAD,252,738,2.6,87,0.195,0.637,0.168,0.59,0.41,0.412,0.262,0.326,0.031,0.601,9602,76,5,60.9,17.3,4.5,32.6,51.2,7.5,3.8,1.225,602.448967866528,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
277,NANIE,98,246,2.5,102,0.203,0.614,0.183,0.776,0.224,0.224,0.184,0.592,0.02,0.551,4887,0,7.8,59.2,7.1,7.1,31.8,41.7,8.3,12,0.147,1673.4693891122,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
278,ZEEWIJK/PEN,70,182,2.5,74,0.143,0.61,0.247,0.591,0.409,0.411,0.178,0.411,0.139,0.676,8164,0,0,0,6.4,5,35.5,38.8,7.2,8.6,0.134,1358.20892139171,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
279,SANS SOUCI,122,269,2.2,66,0.178,0.721,0.1,0.688,0.312,0.312,0.108,0.58,0.027,0.632,2853,0,14.5,62.4,78.7,19,50.7,30.6,5,9.6,0.143,1881.11879330194,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
280,ASIENTO (geozone),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.605,0,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
281,NOOIT GEDACHT,124,338,2.6,88,0.154,0.598,0.249,0.77,0.23,0.23,0.212,0.558,0.021,0.696,4614,0,11,56.4,9.7,8.9,38.9,38.2,7.1,8.9,0.135,2503.70360421546,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
282,NOORWEGEN,139,335,2.3,79,0.122,0.666,0.212,0.68,0.32,0.322,0.22,0.458,0.018,0.626,5262,0,10.2,59.6,13,7.2,34,37.5,11,7.2,0.13,2576.92317144406,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
283,NIEUWE HAVEN (geozone),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683,0,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
284,ONVERWACHT,98,250,2.6,81,0.156,0.708,0.136,0.768,0.232,0.232,0.28,0.488,0.021,0.704,4816,0,11.4,62.6,14.3,10.4,39.6,32.4,7.7,12.6,0.138,1811.59424828121,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
285,KORAAL TABAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
286,OUDEWATER,274,779,2.8,94,0.199,0.71,0.091,0.814,0.186,0.187,0.148,0.666,0.035,0.631,5753,60,11.3,60.7,10.6,7,37.5,35.5,4.9,14,0.71,1097.1831317507,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
287,PUNDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
288,NOORDKANT (Rancho),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,0,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
289,SAN MATEO,76,164,2.2,62,0.116,0.652,0.232,0.627,0.373,0.373,0.224,0.404,0.083,0.592,5267,0,0,0,35.5,17.1,38.8,30.9,7.2,15.1,0.101,1623.76231970057,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
290,PAPAYA ABOU,39,122,3.1,74,0.279,0.656,0.066,0.811,0.189,0.19,0.132,0.678,0.009,0.496,3994,0,0,0,5.1,7.7,55.8,24.4,7,7,0.171,713.45027648189,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
291,PARADIJS,36,117,3.3,89,0.299,0.59,0.111,0.778,0.222,0.222,0.214,0.564,0.026,0.557,5112,0,0,0,63.9,6.1,36.6,34.1,7.3,17.1,0.107,1093.45793600675,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
